+------------------------------+--------------------+
|             city             |      density       |
|               União do Oeste | 31.418700064780822 |
|           Faxinal dos Guedes |  31.38357374153665 |
|               Caxambu do Sul | 31.348162888209792 |
|                     Peritiba | 31.176961602671117 |
|               Nova Itaberaba | 31.021446746637583 |
|                        Ipira | 30.743352526363463 |
|                    Tigrinhos | 30.324473593372456 |
|                  Nova Trento | 30.256397527861203 |
|                     Descanso | 30.174040679387712 |
|                       Garuva |  29.40613980915194 |
|                        Irani | 29.259532142199298 |
|                     Ipumirim | 29.187047742248453 |
|                 Santa Helena |  29.15544675642595 |
|                   Entre Rios | 28.866571018651364 |
|                 Rio do Oeste | 28.610629111012468 |
|                     Belmonte |  28.52040264097846 |
|                       Galvão |  28.46835027877993 |
|                     Anchieta |  27.94079004992555 |
|               Flor do Sertão |  26.96552895228392 |
|                       Aurora |  26.85736411596728 |
|                        Irati |  26.77567705671947 |
|      São Miguel da Boa Vista | 26.662932362414228 |
|                Benedito Novo | 26.584362139917694 |
|   Presidente Castello Branco | 26.291723822588022 |
|                 Jardinópolis | 26.093380614657207 |
|                       Ipuaçu | 26.056958871555064 |
|                   Iraceminha | 26.055259449856035 |
|               Formosa do Sul |  25.98142043751873 |
|               Pedras Grandes | 25.779925930575608 |
|                 Praia Grande | 25.576320698271918 |
|                     Saltinho | 25.305053344406822 |
|                      Riqueza | 25.201854456425483 |
|                         Taió |  24.91051841588731 |
|                     Arvoredo | 24.898094083948443 |
|                 São Domingos | 24.678228763098367 |
|               Lindóia do Sul |  24.60771840542833 |
|              Jacinto Machado |  24.59316611803978 |
|                   Romelândia | 24.578259907017934 |
|                   Sul Brasil | 24.506068928856205 |
| Santa Terezinha do Progresso | 24.375052604999578 |
|                       Iomerê |  24.07912087912088 |
|                    Papanduva |  23.97240125157115 |
|                    Witmarsum |  23.68732727990525 |
|                 Campo Alegre |  23.53978399823672 |
|                   Palma Sola | 23.523174795516507 |
|                        Jupiá | 23.335143943508964 |
|              Coronel Martins | 22.907735321528424 |
|               Lajeado Grande | 22.824754901960784 |
|                     Guatambú |  22.72683116378473 |
|                Correia Pinto | 22.707027890404227 |
|         São João do Itaperiú | 22.685246334698192 |
|                      Paraíso |  22.51158684617082 |
|                      Treviso |  22.45352686529157 |
|                      Tangará |  22.34185040181331 |
|          Chapadão do Lageado | 22.138505931388263 |
|                      Ibicaré |   21.6509403684447 |
|                       Imaruí | 21.510052890551574 |
|                      Vargeão | 21.194119411941195 |
|                       Marema |  21.16844431632555 |
|                       Jaborá | 21.054551138435887 |
|                  Erval Velho |  20.98765432098765 |
|                        Paial | 20.557369402985074 |
|                    Dona Emma |  20.53872053872054 |
|                 Barra Bonita | 20.089858793324776 |
|                  Petrolândia | 20.044463334096186 |
|              Santiago do Sul | 19.840195016251354 |
|                  Bandeirante | 19.719074438488157 |
|                    Campo Erê |  19.55791187459559 |
|                Ponte Serrada | 19.541533065244735 |
|                       Apiúna |  19.45919649734463 |
|               Otacílio Costa | 19.333499011846015 |
|                Rio das Antas |  19.31761006289308 |
|              Alto Bela Vista |  19.28255433737257 |
|                    Xavantina | 19.114864553048132 |
|                 Campos Novos |  19.09071345899952 |
|               Rio dos Cedros | 18.560496679179902 |
|               São Bernardino |  18.47991163882369 |
|                    Grão Pará |  18.40253134610835 |
|                  Vidal Ramos |  18.34407535944472 |
|               Novo Horizonte | 18.109976950938428 |
|                 Abelardo Luz | 17.942207206261937 |
|                  Irineópolis | 17.721690752425538 |
|                 Águas Mornas | 16.947702834799607 |
|                 Timbé do Sul |  16.08046290405647 |
|                Vargem Bonita | 16.056951423785595 |
|                       Zortéa | 15.765338393421885 |
|                   Itaiópolis | 15.671244297260369 |
|                 Frei Rogério | 15.538248963698027 |
|                     Botuverá | 15.084911712076707 |
|                  Paulo Lopes | 14.881693648816936 |
|                  Rio Fortuna | 14.679565490144286 |
|              Anita Garibaldi |  14.67070452728108 |
|                Monte Castelo |  14.55046287417842 |
|                 São Martinho | 14.332931350216626 |
|         São Cristovão do Sul | 14.275135289091425 |
|                 Major Vieira | 14.232159847764034 |
|               Vitor Meireles | 14.053222498110763 |
|                Santa Cecília | 13.751843673907542 |
|                  Celso Ramos | 13.304844672780524 |
|                        Ibiam | 13.256543075245366 |
|                  São Joaquim | 13.112362994514497 |
|               Alfredo Wagner | 12.841682929159218 |
|                  Lebon Régis | 12.573686390721091 |
|              Santa Terezinha | 12.257081341050807 |
|                 Rio do Campo | 12.231111111111112 |
|                   Ouro Verde |  12.00190254729944 |
|                 Timbó Grande |  11.97553762093338 |
|                 José Boiteux | 11.650173975273301 |
|                Leoberto Leal | 11.555235053741287 |
|                Major Gercino | 11.476270474590507 |
|                Abdon Batista | 11.249628970020778 |
|                 Morro Grande | 11.193740800991556 |
|          Bela Vista do Toldo | 11.157155334212923 |
|                      Urubici |  10.51354113438937 |
|                     Angelina | 10.499160067194625 |
|           Santa Rosa de Lima | 10.222772277227723 |
|             Presidente Nereu | 10.121421607728442 |
|          São José do Cerrito |  9.813529187656098 |
|              Doutor Pedrinho |  9.620158556442357 |
|              Rancho Queimado |  9.598658702714031 |
|                   Rio Rufino |  8.623008849557522 |
|                   Ponte Alta |   8.60165916760405 |
|                  Cerro Negro |  8.580533857286625 |
|                   Bom Retiro |  8.471413007436881 |
|                   Brunópolis |  8.455969617849513 |
|          Ponte Alta do Norte |  8.273219116321009 |
|                     Palmeira |  8.202557898375389 |
|                       Vargem |  8.019420248464945 |
|                   Mirim Doce |  7.485181544693652 |
|            Campo Belo do Sul |  7.281662044470393 |
|                  Passos Maia | 7.1467795077201375 |
|                      Urupema |  7.090618215061135 |
|                     Macieira |  7.032814666461254 |
|                  Matos Costa |  6.555522201953495 |
|                São Bonifácio |  6.534016856373273 |
|               Bocaina do Sul |  6.415131129960027 |
|                   Anitápolis | 5.9285766988858555 |
|                       Calmon |  5.307280077721019 |
|                    Água Doce |  5.296476370913131 |
|          Bom Jardim da Serra |  4.696165065660829 |
|                       Painel | 3.1789564700478263 |
|                   Capão Alto |  2.060875553958558 |
+------------------------------+--------------------+
